crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bogorodica-evzoni,2026-06-20T15:43,180,3 h,anonymous,2026-06-20T13:52:13+00:00
bogorodica-evzoni,2026-06-20T15:37,150,2.5 h,anonymous,2026-06-20T13:52:13+00:00
bogorodica-evzoni,2026-06-20T16:06,360,6 h,anonymous,2026-06-20T14:07:18+00:00
bogorodica-evzoni,2026-06-20T16:16,120,2 h,anonymous,2026-06-20T14:22:24+00:00
bogorodica-evzoni,2026-06-20T16:36,180,3 h,anonymous,2026-06-20T14:37:29+00:00
bogorodica-evzoni,2026-06-20T16:30,180,3 h,anonymous,2026-06-20T14:37:29+00:00
bogorodica-evzoni,2026-06-20T16:46,45,45 min,anonymous,2026-06-20T14:53:33+00:00
bogorodica-evzoni,2026-06-20T17:57,270,4.5 h,anonymous,2026-06-20T16:09:14+00:00
bogorodica-evzoni,2026-06-20T18:36,360,6 h,anonymous,2026-06-20T16:39:25+00:00
bogorodica-evzoni,2026-06-20T18:52,270,4.5 h,anonymous,2026-06-20T16:54:31+00:00
bogorodica-evzoni,2026-06-20T19:22,270,4.5 h,anonymous,2026-06-20T17:24:43+00:00
bogorodica-evzoni,2026-06-20T20:31,10,10 min,anonymous,2026-06-20T18:36:52+00:00
bogorodica-evzoni,2026-06-20T20:28,240,4 h,anonymous_,2026-06-20T18:36:52+00:00
bogorodica-evzoni,2026-06-20T20:59,10,10 min,anonymous,2026-06-20T19:07:05+00:00
bogorodica-evzoni,2026-06-20T21:57,5,5 min,anonymous_,2026-06-20T20:10:14+00:00
bogorodica-evzoni,2026-06-20T22:20,5,5 min,anonymous,2026-06-20T20:25:20+00:00
bogorodica-evzoni,2026-06-20T23:28,10,10 min,anonymous_,2026-06-20T21:30:40+00:00
bogorodica-evzoni,2026-06-20T23:47,5,5 min,anonymous,2026-06-20T21:57:08+00:00
bogorodica-evzoni,2026-06-21T00:15,30,30 min,anonymous,2026-06-20T22:27:20+00:00
bogorodica-evzoni,2026-06-21T01:36,5,5 min,anonymous,2026-06-20T23:37:08+00:00
bogorodica-evzoni,2026-06-21T01:25,25,25 min,anonymous_,2026-06-20T23:37:08+00:00
bogorodica-evzoni,2026-06-21T02:55,15,15 min,anonymous_,2026-06-21T01:08:03+00:00
bogorodica-evzoni,2026-06-21T03:56,10,10 min,anonymous_,2026-06-21T02:12:31+00:00
bogorodica-evzoni,2026-06-21T04:57,60,60 min,anonymous,2026-06-21T02:57:47+00:00
bogorodica-evzoni,2026-06-21T05:00,40,40 min,anonymous,2026-06-21T03:12:53+00:00
bogorodica-evzoni,2026-06-21T05:53,35,35 min,anonymous_,2026-06-21T04:13:20+00:00
bogorodica-evzoni,2026-06-21T06:27,60,60 min,anonymous,2026-06-21T04:28:32+00:00
bogorodica-evzoni,2026-06-21T06:20,60,60 min,anonymous,2026-06-21T04:28:32+00:00
bogorodica-evzoni,2026-06-21T07:25,55,55 min,anonymous_,2026-06-21T05:44:00+00:00
bogorodica-evzoni,2026-06-21T07:54,120,2 h,anonymous,2026-06-21T05:59:05+00:00
