crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
batrovci-bajakovo,2026-03-21T18:08,63,63 min,user19,2026-03-21T17:08:04+00:00
batrovci-bajakovo,2026-03-21T18:38,63,63 min,user19,2026-03-21T17:38:03+00:00
batrovci-bajakovo,2026-03-21T19:28,63,63 min,user19,2026-03-21T18:28:03+00:00
batrovci-bajakovo,2026-03-21T19:49,63,63 min,user19,2026-03-21T18:49:03+00:00
batrovci-bajakovo,2026-03-21T20:08,63,63 min,user19,2026-03-21T19:08:03+00:00
batrovci-bajakovo,2026-03-21T20:38,63,63 min,user19,2026-03-21T19:38:03+00:00
batrovci-bajakovo,2026-03-21T21:55,62,62 min,user147,2026-03-21T21:00:08+00:00
batrovci-bajakovo,2026-03-21T22:53,61,61 min,user147,2026-03-21T22:00:08+00:00
batrovci-bajakovo,2026-03-21T23:55,60,60 min,user147,2026-03-21T23:00:09+00:00
batrovci-bajakovo,2026-03-22T00:59,59,59 min,user147,2026-03-22T00:00:08+00:00
batrovci-bajakovo,2026-03-22T01:53,58,58 min,user147,2026-03-22T01:00:09+00:00
batrovci-bajakovo,2026-03-22T02:54,59,59 min,user147,2026-03-22T02:00:08+00:00
batrovci-bajakovo,2026-03-22T03:55,58,58 min,user147,2026-03-22T03:00:09+00:00
batrovci-bajakovo,2026-03-22T04:38,59,59 min,user19,2026-03-22T03:38:03+00:00
batrovci-bajakovo,2026-03-22T05:28,59,59 min,user19,2026-03-22T04:28:04+00:00
batrovci-bajakovo,2026-03-22T05:49,63,63 min,user19,2026-03-22T04:49:03+00:00
batrovci-bajakovo,2026-03-22T06:08,63,63 min,user19,2026-03-22T05:08:03+00:00
batrovci-bajakovo,2026-03-22T06:38,63,63 min,user19,2026-03-22T05:38:04+00:00
batrovci-bajakovo,2026-03-22T07:28,63,63 min,user19,2026-03-22T06:28:04+00:00
batrovci-bajakovo,2026-03-22T07:49,63,63 min,user19,2026-03-22T06:49:04+00:00
batrovci-bajakovo,2026-03-22T08:08,63,63 min,user19,2026-03-22T07:08:05+00:00
batrovci-bajakovo,2026-03-22T08:38,63,63 min,user19,2026-03-22T07:38:04+00:00
batrovci-bajakovo,2026-03-22T09:28,63,63 min,user19,2026-03-22T08:28:04+00:00
batrovci-bajakovo,2026-03-22T09:49,63,63 min,user19,2026-03-22T08:49:04+00:00
batrovci-bajakovo,2026-03-22T10:53,62,62 min,user147,2026-03-22T10:00:09+00:00
batrovci-bajakovo,2026-03-22T11:48,68,68 min,user0,2026-03-22T10:48:13+00:00
batrovci-bajakovo,2026-03-22T12:11,81,81 min,user0,2026-03-22T11:11:12+00:00
batrovci-bajakovo,2026-03-22T12:36,70,70 min,user0,2026-03-22T11:36:44+00:00
batrovci-bajakovo,2026-03-22T13:57,81,81 min,user147,2026-03-22T13:00:08+00:00
batrovci-bajakovo,2026-03-22T14:08,68,68 min,user19,2026-03-22T13:08:04+00:00
batrovci-bajakovo,2026-03-22T14:19,70,70 min,user0,2026-03-22T13:19:25+00:00
batrovci-bajakovo,2026-03-22T14:57,71,71 min,user0,2026-03-22T13:57:39+00:00
batrovci-bajakovo,2026-03-22T15:10,71,71 min,user0,2026-03-22T14:10:12+00:00
batrovci-bajakovo,2026-03-22T15:56,84,84 min,user0,2026-03-22T14:56:35+00:00
batrovci-bajakovo,2026-03-22T16:53,83,83 min,user147,2026-03-22T16:00:09+00:00
batrovci-bajakovo,2026-03-22T17:06,84,84 min,user0,2026-03-22T16:06:47+00:00
batrovci-bajakovo,2026-03-22T17:20,85,85 min,user0,2026-03-22T16:20:37+00:00
batrovci-bajakovo,2026-03-22T18:19,86,86 min,user0,2026-03-22T17:19:22+00:00
batrovci-bajakovo,2026-03-22T18:50,88,88 min,user0,2026-03-22T17:50:15+00:00
batrovci-bajakovo,2026-03-22T19:54,87,87 min,user147,2026-03-22T19:00:09+00:00
batrovci-bajakovo,2026-03-22T20:08,84,84 min,user19,2026-03-22T19:08:04+00:00
batrovci-bajakovo,2026-03-22T20:38,84,84 min,user19,2026-03-22T19:38:04+00:00
batrovci-bajakovo,2026-03-22T21:28,84,84 min,user19,2026-03-22T20:28:04+00:00
batrovci-bajakovo,2026-03-22T21:49,84,84 min,user19,2026-03-22T20:49:04+00:00
batrovci-bajakovo,2026-03-22T21:51,88,88 min,user0,2026-03-22T20:51:10+00:00
batrovci-bajakovo,2026-03-22T22:55,87,87 min,user147,2026-03-22T22:00:09+00:00
batrovci-bajakovo,2026-03-22T23:28,84,84 min,user19,2026-03-22T22:28:04+00:00
batrovci-bajakovo,2026-03-22T23:49,84,84 min,user19,2026-03-22T22:49:04+00:00
batrovci-bajakovo,2026-03-23T00:56,83,83 min,user147,2026-03-23T00:00:08+00:00
batrovci-bajakovo,2026-03-23T01:53,71,71 min,user147,2026-03-23T01:00:08+00:00
batrovci-bajakovo,2026-03-23T02:28,70,70 min,user19,2026-03-23T01:28:03+00:00
batrovci-bajakovo,2026-03-23T02:38,70,70 min,user19,2026-03-23T01:38:03+00:00
batrovci-bajakovo,2026-03-23T02:49,70,70 min,user19,2026-03-23T01:49:04+00:00
batrovci-bajakovo,2026-03-23T03:53,81,81 min,user147,2026-03-23T03:00:08+00:00
batrovci-bajakovo,2026-03-23T04:08,70,70 min,user19,2026-03-23T03:08:04+00:00
batrovci-bajakovo,2026-03-23T04:38,70,70 min,user19,2026-03-23T03:38:03+00:00
batrovci-bajakovo,2026-03-23T05:28,70,70 min,user19,2026-03-23T04:28:03+00:00
batrovci-bajakovo,2026-03-23T05:49,68,68 min,user19,2026-03-23T04:49:04+00:00
batrovci-bajakovo,2026-03-23T06:08,68,68 min,user19,2026-03-23T05:08:04+00:00
batrovci-bajakovo,2026-03-23T06:38,68,68 min,user19,2026-03-23T05:38:04+00:00
batrovci-bajakovo,2026-03-23T06:42,81,81 min,user0,2026-03-23T05:42:48+00:00
batrovci-bajakovo,2026-03-23T07:58,68,68 min,user147,2026-03-23T07:00:09+00:00
batrovci-bajakovo,2026-03-23T08:08,68,68 min,user19,2026-03-23T07:08:04+00:00
batrovci-bajakovo,2026-03-23T08:38,68,68 min,user19,2026-03-23T07:38:04+00:00
batrovci-bajakovo,2026-03-23T09:28,68,68 min,user19,2026-03-23T08:28:04+00:00
batrovci-bajakovo,2026-03-23T09:49,68,68 min,user19,2026-03-23T08:49:04+00:00
batrovci-bajakovo,2026-03-23T10:55,67,67 min,user147,2026-03-23T10:00:09+00:00
batrovci-bajakovo,2026-03-23T11:53,66,66 min,user147,2026-03-23T11:00:10+00:00
batrovci-bajakovo,2026-03-23T12:55,65,65 min,user147,2026-03-23T12:00:09+00:00
batrovci-bajakovo,2026-03-23T13:57,92,92 min,user147,2026-03-23T13:00:08+00:00
batrovci-bajakovo,2026-03-23T14:54,64,64 min,user147,2026-03-23T14:00:09+00:00
batrovci-bajakovo,2026-03-23T15:26,82,82 min,user0,2026-03-23T14:26:18+00:00
batrovci-bajakovo,2026-03-23T15:32,82,82 min,user0,2026-03-23T14:32:29+00:00
batrovci-bajakovo,2026-03-23T16:58,70,70 min,user147,2026-03-23T16:00:08+00:00
batrovci-bajakovo,2026-03-23T17:28,70,70 min,user19,2026-03-23T16:28:04+00:00
batrovci-bajakovo,2026-03-23T17:49,70,70 min,user19,2026-03-23T16:49:05+00:00
batrovci-bajakovo,2026-03-23T18:08,70,70 min,user19,2026-03-23T17:08:03+00:00
batrovci-bajakovo,2026-03-23T18:38,70,70 min,user19,2026-03-23T17:38:04+00:00
batrovci-bajakovo,2026-03-23T19:28,70,70 min,user19,2026-03-23T18:28:05+00:00
batrovci-bajakovo,2026-03-23T19:49,70,70 min,user19,2026-03-23T18:49:04+00:00
batrovci-bajakovo,2026-03-23T20:08,70,70 min,user19,2026-03-23T19:08:05+00:00
batrovci-bajakovo,2026-03-23T20:38,70,70 min,user19,2026-03-23T19:38:04+00:00
batrovci-bajakovo,2026-03-23T21:28,70,70 min,user19,2026-03-23T20:28:04+00:00
batrovci-bajakovo,2026-03-23T21:49,70,70 min,user19,2026-03-23T20:49:04+00:00
batrovci-bajakovo,2026-03-23T22:08,70,70 min,user19,2026-03-23T21:08:04+00:00
