crossing,reported_at,value_min,value_raw,reporter,scraped_at_utc
bajakovo-batrovci,2026-06-19T21:28,90,1.5 h,hak_croatia,2026-06-19T19:35:59+00:00
bajakovo-batrovci,2026-06-19T21:36,60,60 min,anonymous,2026-06-19T19:51:06+00:00
bajakovo-batrovci,2026-06-19T22:54,55,55 min,anonymous_,2026-06-19T21:10:51+00:00
bajakovo-batrovci,2026-06-19T23:57,50,50 min,anonymous_,2026-06-19T22:09:01+00:00
bajakovo-batrovci,2026-06-20T00:41,180,3 h,anonymous,2026-06-19T22:56:04+00:00
bajakovo-batrovci,2026-06-20T01:54,150,2.5 h,anonymous_,2026-06-20T00:09:56+00:00
bajakovo-batrovci,2026-06-20T02:55,120,2 h,anonymous_,2026-06-20T01:10:18+00:00
bajakovo-batrovci,2026-06-20T03:58,90,1.5 h,anonymous_,2026-06-20T02:10:39+00:00
bajakovo-batrovci,2026-06-20T04:53,60,60 min,anonymous_,2026-06-20T03:11:02+00:00
bajakovo-batrovci,2026-06-20T05:58,55,55 min,anonymous_,2026-06-20T04:11:25+00:00
bajakovo-batrovci,2026-06-20T06:38,10,10 min,hak_croatia,2026-06-20T04:52:43+00:00
bajakovo-batrovci,2026-06-20T07:54,5,5 min,anonymous_,2026-06-20T06:08:11+00:00
bajakovo-batrovci,2026-06-20T08:08,60,60 min,anonymous,2026-06-20T06:23:31+00:00
bajakovo-batrovci,2026-06-20T09:15,90,1.5 h,anonymous,2026-06-20T07:23:51+00:00
bajakovo-batrovci,2026-06-20T10:27,60,60 min,anonymous_,2026-06-20T08:30:50+00:00
bajakovo-batrovci,2026-06-20T11:29,120,2 h,anonymous,2026-06-20T09:31:15+00:00
bajakovo-batrovci,2026-06-20T12:26,90,1.5 h,anonymous_,2026-06-20T10:31:41+00:00
bajakovo-batrovci,2026-06-20T13:28,60,60 min,anonymous_,2026-06-20T11:44:14+00:00
bajakovo-batrovci,2026-06-20T13:48,60,60 min,anonymous,2026-06-20T11:59:21+00:00
